,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
99,㑥,10187.0,yì,zi6,,,,,,,,hangeul=이|rv=i|mr=i|y=i|eumhun=업신여기다|ehrv=eopsinnyeogida|ehmr=ŏpsinnyŏgida|ehy=epqsinqyekita,,,,,,,,,,,,,,,,
100,㑦,10188.0,lì,leoi6,,,,,,,,hangeul=[[려]]([[여]])|rv=ryeo(yeo)|mr=ryŏ(yŏ)|y=lye(<sup>l</sup>ye)|eumhun=성내다|ehrv=seongnaeda|ehmr=sŏngnaeda|ehy=sengnayta,,,,,,,,,,,,,,,,
101,㑮,10196.0,hún,wan4,,,,,,,,hangeul=혼|rv=hon|mr=hon|y=hon,,,,,,,,,,,,,,,,
102,㑳,10201.0,zhòu,zau3,,,,,,,,,,,,,,,,,,,,,,,,
103,㑵,10203.0,hàn,zat6,,,,,,,,,,,,,,,,,,,,,,,,
104,㑻,10209.0,mà,maa6,,,,,,,,,,,,,,,,,,,,,,,,
105,㑿,10213.0,zhào,coek3,,,,,,,,,,,,,,,,,,,,,,,,
106,㒄,10218.0,rǎn,ngam4,,,,,,,,,,,,,,,,,,,,,,,,
107,㒅,10219.0,qǐ,kai2,,,,,,,,,,,,,,,,,,,,,,,,
108,㒇,10221.0,wǔ,ng5,,,,,,,,,,,,,,,,,,,,,,,,
109,㒈,10222.0,hàn,hon6,,,,,,,,,,,,,,,,,,,,,,,,
110,㒊,10224.0,sè,saap1,,,,,,,,,,,,,,,,,,,,,,,,
111,㒋,10225.0,,si1,,,,,,,,,,,,,,,,,,,,,,,,
112,㒌,10226.0,,,,,,,,,,,,,,,,,,,,,,,,,,
113,㒓,10233.0,tà,taat3,,,,,,,,,,,,,,,,,,,,,,,,
114,㒔,10234.0,shǔ,suk6,,,,,,,,,,,,,,,,,,,,,,,,
115,㒚,10240.0,wěn,waan2,,,,,,,,,,,,,,,,,,,,,,,,
116,㒝,10243.0,miè,mit6,,,,,,,,,,,,,,,,,,,,,,,,
117,㒟,10245.0,niǎo,niu5,,,,,,,,,,,,,,,,,,,,,,,,
118,㒠,10246.0,xiè,haai6,,,,,,,,,,,,,,,,,,,,,,,,
119,㒥,10251.0,fēng,fung1,,,,,,,,,,,,,,,,,,,,,,,,
120,㒨,10254.0,,,,,,,,,,,,,,,,,,,,,,,,,,
121,㒳,10265.0,,,,,,,,,,,,,,,,,,,,,,,,,,
122,㒴,10266.0,gǔ,gwat1,,,,,,,,,,,,,,,,,,,,,,,,
123,㒸,10270.0,suì,seoi6,,,,,,,,,,,,,,,,,,,,,,,,
124,㒹,10271.0,,,,,,,,,,,,,,,,,,,,,,,,,,
125,㒼,10274.0,mán,mun4,,,,,ばん,,,,,,,,,,,,,,,,,,,
126,㒽,10275.0,quān,hyun1,,,,,,,,,,,,,,,,,,,,,,,,
127,㒾,10276.0,shì,si6,,,,,,,,,,,,,,,,,,,,,,,,
128,㓃,10281.0,dù,dou3,,,,,,,,,,,,,,,,,,,,,,,,
129,㓄,10282.0,zhèn,saam2,,,,,,,,,,,,,,,,,,,,,,,,
130,㓊,10288.0,dòng,dung6,,,,,,,,,,,,,,,,,,,,,,,,
131,㓖,10300.0,bì,bit1,,,,,,,,,,,,,,,,,,,,,,,,
132,㓚,10304.0,gōng,gung1,,,,,,,,,,,,,,,,,,,,,,,,
133,㓝,10307.0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,㓠,10310.0,diàn,dim3,,,,,,,,,,,,,,,,,,,,,,,,
135,㓢,10312.0,luò,lok3,,,,,,,,,,,,,,,,,,,,,,,,
136,㓣,10313.0,qià,zak6,,,,,,,,,,,,,,,,,,,,,,,,
137,㓤,10314.0,qià,kit3,,,,,,,,,,,,,,,,,,,,,,,,
138,㓱,10327.0,tóu,,,,,,,,,,,,,,,,,,,,,,,,,
139,㓷,10333.0,yì,ji6,,,,,,,,,,,,,,,,,,,,,,,,
140,㓹,10335.0,ruì,jeoi6,,,,,,,,,,,,,,,,,,,,,,,,
141,㓺,10336.0,jiān,gin1,,,,,,,,,,,,,,,,,,,,,,,,
142,㓻,10337.0,,,,,,,,,,,,,,,,,,,,,,,,,,
143,㓼,10338.0,chì,,,,,,,,,,,,,,,,,,,,,,,,,
144,㓽,10339.0,chóng,sung4,,,,,,,,,,,,,,,,,,,,,,,,
145,㔂,10344.0,lín,leon4,,,lân,,,,,,,,,,,,,,,,,,,,,
146,㔄,10346.0,sù,suk1,,,,,,,,,,,,,,,,,,,,,,,,
147,㔆,10348.0,zàn,caam5,,,,,,,,,,,,,,,,,,,,,,,,
148,㔊,10352.0,zhǎn,tan2,,,,,,,,,,,,,,,,,,,,,,,,
149,㔋,10353.0,jiān,ham3,,,,,,,,,,,,,,,,,,,,,,,,
