character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
鑣	5639130	level	p	ˠiᴇu	∅	p	ᵚiɛu	∅	p	iæu	∅	p	iaw	∅	p	jɛu	∅	p	i̯ɛu	∅
㿸	5639131	rising	m	ʉɐ	n	m	ʷiɐ	n	m	iuɐ	n	m	ua	n	m	iuɐ	n	m	i̯wɐ	n
䥯	5639132	rising	b	ˠɛ	∅	b	ᵚæ	∅	b	æi	∅	b	aɨj	∅	b	ɛ	∅	bʱ	ai	∅
𥀕	5639133	checked	p	iɪ	t̚	p	i	t̚	p	je	t̚	p	i	t̚	p	iĕ	t̚	p	i̯ĕ	t̚
䥰	5639134	level	m	ˠæ	ŋ	m	ᵚa	ŋ	m	a	ŋ	m	aɨj	ŋ	m	ɐ	ŋ	m	ɐ	ŋ
𥀜	5639135	level	t͡ʃ	ɨ	∅	ʈ͡ʂ	ɨ	∅	t͡ʃ	ie	∅	ʈ͡ʂ	ɨ	∅	t͡ʃ	iə	∅	ʈ͡ʂ	i	∅
鑩	5639136	checked	ŋ	ɑ	k̚	ŋ	ɑ	k̚	ŋ	ɑ	k̚	ŋ	a	k̚	ŋ	ɑ	k̚	ŋ	ɑ	k̚
皽	5639137	level	t͡ɕ	iᴇu	∅	t͡ɕ	iɛu	∅	t͡ɕ	jæu	∅	c	iaw	∅	t͡ɕ	iɛu	∅	t͡ɕ	i̯ɛu	∅
鑪	5639138	level	l	uo	∅	l	uo	∅	l	o	∅	l	ɔ	∅	l	o	∅	l	uo	∅
𥀣	5639139	checked	ɦ	ˠʌ	k̚	ɦ	ᵚɔ	k̚	ɣ	ɔ	k̚	ɦ	aɨw	k̚	ɣ	ɔ	k̚	ɣ	ɔ	k̚
䥵	5639140	rising	k	eu	∅	k	eu	∅	k	eu	∅	k	ɛw	∅	k	eu	∅	k	ieu	∅
皾	5639141	checked	d	u	k̚	d	u	k̚	d	u	k̚	d	əw	k̚	d	u	k̚	dʱ	u	k̚
䥶	5639142	checked	l	e	k̚	l	e	k̚	l	ɛ	k̚	l	ɛj	k̚	l	e	k̚	l	ie	k̚
㿺	5639143	checked	p	ˠʌ	k̚	p	ᵚɔ	k̚	p	ɔ	k̚	p	aɨw	k̚	p	ɔ	k̚	p	ɔ	k̚
𨯝	5639144	rising	d	uʌi	∅	d	uoi	∅	d	uɒi	∅	d	wəj	∅	d	uᴀi	∅	dʱ	uɑ̆i	∅
𥀰	5639145	checked	l	ɑ	p̚	l	ɑ	p̚	l	ɑ	p̚	l	a	p̚	l	ɑ	p̚	l	ɑ	p̚
鑭	5639146	departing	l	ɑ	n	l	ɑ	n	l	ɑ	n	l	a	n	l	ɑ	n	l	ɑ	n
𥀹	5639147	rising	k	e	n	k	e	n	k	ɛ	n	k	ɛ	n	k	e	n	k	ie	n
鑮	5639148	checked	b	wɑ	k̚	b	ʷɑ	k̚	b	uɑ	k̚	b	wa	k̚	b	uɑ	k̚	bʱ	wɑ	k̚
皿	5639149	rising	m	ˠiæ	ŋ	m	ᵚia	ŋ	m	ia	ŋ	m	iaj	ŋ	m	iɐ	ŋ	m	i̯ɐ	ŋ
鑯	5639150	level	t͡s	iᴇ	m	t͡s	iɛ	m	t͡s	jæ	m	t͡s	ia	m	t͡s	iɛ	m	t͡s	i̯ɛ	m
盂	5639151	level	ɦ	ɨo	∅	ɦ	io	∅	ɣ	io	∅	ɦ	uə	̆	ɣ	io	∅	∅	i̯u	∅
鑰	5639152	checked	j	ɨɐ	k̚	j	iɐ	k̚	∅	iɑ	k̚	j	ɨa	k̚	∅	ia	k̚	∅	i̯a	k̚
㿻	5639153	level	k	ɑ	n	k	ɑ	n	k	ɑ	n	k	a	n	k	ɑ	n	k	ɑ	n
盃	5639155	level	p	uʌi	∅	p	uoi	∅	p	uɒi	∅	p	wəj	∅	p	uᴀi	∅	p	uɑ̆i	∅
鑲	5639156	level	ȵ	ɨɐ	ŋ	ȵ	iɐ	ŋ	ȵʑ	iɑ	ŋ	ȵ	ɨa	ŋ	ȵ	ia	ŋ	ȵʑ	i̯a	ŋ
盄	5639157	level	t͡ɕ	iᴇu	∅	t͡ɕ	iɛu	∅	t͡ɕ	jæu	∅	c	iaw	∅	t͡ɕ	iɛu	∅	t͡ɕ	i̯ɛu	∅
鑳	5639158	rising	ɡ	ˠiᴇ	n	ɡ	ᵚiɛ	n	ɡ	iæ	n	g	ia	n	ɡ	jɛ	n	g	i̯ɛ	n
盅	5639159	level	ɖ	ɨu	ŋ	ɖ	iu	ŋ	ȡ	iu	ŋ	ɖ	uw	ŋ	ȡ	iu	ŋ	ȡʱ	i̯u	ŋ
䥸	5639160	level	m	iᴇ	∅	m	iɛ	∅	m	jɛ	∅	m	iə	̆	m	ie	∅	m	ie	̯
盆	5639161	level	b	uə	n	b	uo	n	b	uə	n	b	wə	n	b	uə	n	bʱ	uə	n
鑴	5639162	level	h	iuᴇ	∅	h	ʷiɛ	∅	x	juɛ	∅	h	wiə	̆	x	iue	∅	x	wie	̯
盈	5639163	level	j	iᴇ	ŋ	j	iɛ	ŋ	∅	iæ	ŋ	j	iaj	ŋ	∅	iɛ	ŋ	∅	i̯ɛ	ŋ
鑵	5639164	departing	k	uɑ	n	k	ʷɑ	n	k	uɑ	n	k	wa	n	k	uɑ	n	k	uɑ	n
㿼	5639165	level	ŋ	e	n	ŋ	e	n	ŋ	ɛ	n	ŋ	ɛ	n	ŋ	e	n	ŋ	ie	n
鑷	5639166	checked	ɳ	ˠiᴇ	p̚	ɳ	ᵚiɛ	p̚	n	iæ	p̚	ɳ	jia	p̚	n	jɛ	p̚	n	i̯ɛ	p̚
盉	5639167	level	ɦ	uɑ	∅	ɦ	uɑ	∅	ɣ	uɑ	∅	ɦ	wa	∅	ɣ	uɑ	∅	ɣ	uɑ	∅
鑹	5639168	departing	t͡sʰ	uɑ	n	t͡sʰ	ʷɑ	n	t͡sʰ	uɑ	n	t͡sʰ	wa	n	t͡sʰ	uɑ	n	t͡sʰ	uɑ	n
益	5639169	checked	ʔ	iᴇ	k̚	ʔ	iɛ	k̚	ʔ	iæ	k̚	ʔ	iaj	k̚	ʔ	iɛ	k̚	ʔ	i̯ɛ	k̚
鑺	5639170	level	ɡ	ɨo	∅	ɡ	io	∅	ɡ	io	∅	g	uə	̆	ɡ	io	∅	g	i̯u	∅
盋	5639171	checked	p	uɑ	t̚	p	ʷɑ	t̚	p	uɑ	t̚	p	wa	t̚	p	uɑ	t̚	p	uɑ	t̚
𨰉	5639172	checked	d͡ʒ	ˠa	t̚	ɖ͡ʐ	ᵚa	t̚	d͡ʒ	ɐ	t̚	ɖ͡ʐ	aɨ	t̚	d͡ʒ	a	t̚	ɖ͡ʐʱ	ă	t̚
盌	5639173	rising	ʔ	uɑ	n	ʔ	ʷɑ	n	ʔ	uɑ	n	ʔ	wa	n	ʔ	uɑ	n	ʔ	uɑ	n
鑼	5639174	level	l	ɑ	∅	l	ɑ	∅	l	ɑ	∅	l	a	∅	l	ɑ	∅	l	ɑ	∅
盍	5639175	checked	ɦ	ɑ	p̚	ɦ	ɑ	p̚	ɣ	ɑ	p̚	ɦ	a	p̚	ɣ	ɑ	p̚	ɣ	ɑ	p̚
鑾	5639176	level	l	uɑ	n	l	ʷɑ	n	l	uɑ	n	l	wa	n	l	uɑ	n	l	uɑ	n
盎	5639177	rising	ʔ	ɑ	ŋ	ʔ	ɑ	ŋ	ʔ	ɑ	ŋ	ʔ	a	ŋ	ʔ	ɑ	ŋ	ʔ	ɑ	ŋ
